Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
APPF,"AppFolio, Inc.",47.75,1629171458.5,n/a,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/appf
APPN,Appian Corporation,26.91,1634550831.81,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/appn
AAPL,Apple Inc.,162.32,823613790160,n/a,1980,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl
AMAT,"Applied Materials, Inc.",49.4,51903962549.4,n/a,1972,Technology,Semiconductors,https://www.nasdaq.com/symbol/amat
AAOI,"Applied Optoelectronics, Inc.",33.76,658344577.28,n/a,2013,Technology,Semiconductors,https://www.nasdaq.com/symbol/aaoi
APTI,"Apptio, Inc.",28.88,1255134850.24,n/a,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/apti
AQ,Aquantia Corp.,10.47,350992961.01,n/a,2017,Technology,Semiconductors,https://www.nasdaq.com/symbol/aq
ANET,"Arista Networks, Inc.",262.75,19538649132,n/a,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/anet
ARRS,ARRIS International plc,27.31,5058868651.21,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/arrs
ASGN,ASGN Incorporated,81.29,4241382081.31,n/a,1992,Technology,Professional Services,https://www.nasdaq.com/symbol/asgn
ASML,ASML Holding N.V.,191.75,14172149117.75,73909513,1995,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/asml
AZPN,"Aspen Technology, Inc.",89.79,6459396075.75,n/a,1994,Technology,EDP Services,https://www.nasdaq.com/symbol/azpn
ALOT,"AstroNova, Inc.",17.55,119325363.3,n/a,1983,Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/alot
ASUR,Asure Software Inc,15.07,189641422.52,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/asur
TEAM,Atlassian Corporation Plc,55.42,12870730214.78,n/a,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/team
ATOM,Atomera Incorporated,5.11,63165062.59,n/a,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/atom
ATTU,Attunity Ltd.,8.88,184099875.84,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/attu
AUO,AU Optronics Corp,4.06,3907443514.66,n/a,2002,Technology,Semiconductors,https://www.nasdaq.com/symbol/auo
ADSK,"Autodesk, Inc.",126.64,27649040443.68,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adsk
ATHM,Autohome Inc.,94.9,11116667234.4,n/a,2013,Technology,EDP Services,https://www.nasdaq.com/symbol/athm
ADP,"Automatic Data Processing, Inc.",119.88,53139166481.16,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/adp
AUTO,"AutoWeb, Inc.",3.65,47722136.7,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/auto
AVNW,"Aviat Networks, Inc.",16.74,89405845.74,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/avnw
AVID,"Avid Technology, Inc.",4.39,182097362.43,n/a,1993,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/avid
AWRE,"Aware, Inc.",3.95,85109931.1,n/a,1996,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/awre
ACLS,"Axcelis Technologies, Inc.",21.75,698918110.5,n/a,2000,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acls
AXTI,AXT Inc,5.8,228741948.6,n/a,1998,Technology,Semiconductors,https://www.nasdaq.com/symbol/axti
BOSC,B.O.S. Better Online Solutions,2.219,7448492.891,n/a,n/a,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/bosc
BIDU,"Baidu, Inc.",251.93,70725926290.6,280736420,2005,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/bidu
BAND,Bandwidth Inc.,32.17,569166406.03,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/band
BBSI,"Barrett Business Services, Inc.",88.39,645608073.15,n/a,1993,Technology,Professional Services,https://www.nasdaq.com/symbol/bbsi
BHE,"Benchmark Electronics, Inc.",26.65,1267725309.5,n/a,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/bhe
BNFT,"Benefitfocus, Inc.",29.9,949529396.4,n/a,2013,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/bnft
BGSF,BG Staffing Inc,18.75,164324343.75,n/a,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/bgsf
BILI,Bilibili Inc.,10.61,445620000,42000000,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/bili
BKYI,"BIO-key International, Inc.",2.12,22605799.56,n/a,n/a,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/bkyi
BITA,Bitauto Holdings Limited,19.87,1425196116.75,n/a,2010,Technology,EDP Services,https://www.nasdaq.com/symbol/bita
BBOX,Black Box Corporation,2,30278980,n/a,n/a,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/bbox
BKI,"Black Knight, Inc.",48.6,7244518321.8,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/bki
BLKB,"Blackbaud, Inc.",105.89,5138326862.82,n/a,2004,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/blkb
BB,BlackBerry Limited,10.45,5608732056.95,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/bb
BL,"BlackLine, Inc.",40.97,2189525909.75,n/a,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/bl
BDR,"Blonder Tongue Laboratories, Inc.",1.1,9031817.3,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/bdr
BRQS,"Borqs Technologies, Inc. ",8,250460176,n/a,2015,Technology,EDP Services,https://www.nasdaq.com/symbol/brqs
EPAY,"Bottomline Technologies, Inc.",39.35,1600775746.85,n/a,1999,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/epay
BOX,"Box, Inc.",22.6,3107739966.8,n/a,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/box
BLIN          ,"Bridgeline Digital, Inc.",1.6351,6867778.0869,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/blin
BCOV,Brightcove Inc.,9.25,323593203.25,n/a,2012,Technology,EDP Services,https://www.nasdaq.com/symbol/bcov
AVGO,Broadcom Inc.,232.78,95614847068.3,n/a,2009,Technology,Semiconductors,https://www.nasdaq.com/symbol/avgo
BVSN,"BroadVision, Inc.",2.175,10863881.4,n/a,1996,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/bvsn
BRKS,"Brooks Automation, Inc.",25.19,1774121195.77,n/a,1995,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/brks
CA,CA Inc.,34.88,14542316235.52,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ca
CCMP,Cabot Microelectronics Corporation,101.15,2590356419,n/a,2000,Technology,Semiconductors,https://www.nasdaq.com/symbol/ccmp
CACI,"CACI International, Inc.",153.35,3776689231.75,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/caci
CDNS,"Cadence Design Systems, Inc.",39.96,11318100370.2,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cdns
CAI,"CAI International, Inc.",23.06,472557488.14,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/cai
CAMP,CalAmp Corp.,19.76,703942392.4,n/a,1983,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/camp
CSIQ,Canadian Solar Inc.,15.9,919539500.7,n/a,2006,Technology,Semiconductors,https://www.nasdaq.com/symbol/csiq
CARB,"Carbonite, Inc.",30.95,883571525.35,n/a,2011,Technology,EDP Services,https://www.nasdaq.com/symbol/carb
CDLX,"Cardlytics, Inc.",13.41,268141760.37,n/a,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/cdlx
CARG,"CarGurus, Inc.",30.52,4100099466.96,n/a,2017,Technology,EDP Services,https://www.nasdaq.com/symbol/carg
CARS,Cars.com Inc.,28.55,2051734872.45,n/a,2017,Technology,EDP Services,https://www.nasdaq.com/symbol/cars
CASA,"Casa Systems, Inc.",22.81,1860846209.61,n/a,2017,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/casa
CSLT,"Castlight Health, inc.",3.9,527569863.6,n/a,2014,Technology,EDP Services,https://www.nasdaq.com/symbol/cslt
CAVM,"Cavium, Inc.",76.15,5318999293.95,n/a,2007,Technology,Semiconductors,https://www.nasdaq.com/symbol/cavm
CLS,"Celestica, Inc.",11.23,1395046166.04,n/a,1998,Technology,Electrical Products,https://www.nasdaq.com/symbol/cls
CRNT,Ceragon Networks Ltd.,2.63,205484472.14,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/crnt
CERN,Cerner Corporation,59.43,19715059782.6,n/a,1986,Technology,EDP Services,https://www.nasdaq.com/symbol/cern
CEVA,"CEVA, Inc.",32.75,727724912,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/ceva
CYOU,Changyou.com Limited,18.97,364511509.32,19215156,2009,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cyou
ECOM          ,ChannelAdvisor Corporation,12.9,348898224.6,n/a,2013,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ecom
CHKP,Check Point Software Technologies Ltd.,95.73,15888806278.92,n/a,1996,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/chkp
CMCM,Cheetah Mobile Inc.,13.19,1849305506.42,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cmcm
CVR,Chicago Rivet & Machine Co.,29.1,28114441.2,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cvr
CNIT,"China Information Technology, Inc.",1.68,68477073.84,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cnit
CCIH,ChinaCache International Holdings Ltd.,1.26,26400916.08,20953108,2010,Technology,EDP Services,https://www.nasdaq.com/symbol/ccih
CNET,"ChinaNet Online Holdings, Inc.",2.68,43235215.24,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/cnet
IMOS,ChipMOS TECHNOLOGIES INC.,13.5,127325061,9431486,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/imos
CRUS,"Cirrus Logic, Inc.",36.21,2294494845.51,n/a,1989,Technology,Semiconductors,https://www.nasdaq.com/symbol/crus
CSCO,"Cisco Systems, Inc.",44.71,215391203401.1,n/a,1990,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/csco
CISN,Cision Ltd.,13.42,1669047963.22,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cisn
CTXS,"Citrix Systems, Inc.",103.27,14165833713.49,n/a,1995,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ctxs
CLDR,"Cloudera, Inc.",14.19,2093287231.2,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cldr
CTSH,Cognizant Technology Solutions Corporation,81.62,47821026428.56,n/a,1998,Technology,EDP Services,https://www.nasdaq.com/symbol/ctsh
CHUBA,"CommerceHub, Inc.",22.69,989853292.1,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/chuba
CHUBK,"CommerceHub, Inc.",22.63,987235786.7,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/chubk
COMM,"CommScope Holding Company, Inc.",38.86,7457091072.92,n/a,2013,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/comm
CVLT,"Commvault Systems, Inc.",69.4,3118993468.6,n/a,2006,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cvlt
CPSI,"Computer Programs and Systems, Inc.",29.9,421171071.1,n/a,2002,Technology,EDP Services,https://www.nasdaq.com/symbol/cpsi
CTG,"Computer Task Group, Incorporated",7.84,119874627.04,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/ctg
CMTL,Comtech Telecommunications Corp.,30.54,721358251.02,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/cmtl
CVON,"ConvergeOne Holdings, Inc.",8.64,602208000,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cvon
CVONW,"ConvergeOne Holdings, Inc.",1.1008,0,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cvonw
CVG,Convergys Corporation,23.43,2146850740.98,n/a,1998,Technology,EDP Services,https://www.nasdaq.com/symbol/cvg
CLGX,"CoreLogic, Inc.",49.85,4070934398.15,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/clgx
CSOD,"Cornerstone OnDemand, Inc.",43.93,2518024680.39,n/a,2011,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/csod
CPAH,CounterPath Corporation,2.58,15311409.9,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cpah
COUP,Coupa Software Incorporated,47.51,2690438136.31,n/a,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/coup
CRAY,Cray Inc,24.1,979544572.3,n/a,n/a,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/cray
CREE,"Cree, Inc.",38.24,3822477244.96,n/a,1993,Technology,Semiconductors,https://www.nasdaq.com/symbol/cree
CRTO,Criteo S.A.,25.77,1674844484.25,64992025,2013,Technology,Advertising,https://www.nasdaq.com/symbol/crto
CCRN,"Cross Country Healthcare, Inc.",12.86,464976769.5,n/a,2001,Technology,Professional Services,https://www.nasdaq.com/symbol/ccrn
CSGS,"CSG Systems International, Inc.",43.22,1455317843.28,n/a,1996,Technology,EDP Services,https://www.nasdaq.com/symbol/csgs
CSPI,CSP Inc.,10.89,43375784.76,n/a,1982,Technology,EDP Services,https://www.nasdaq.com/symbol/cspi
CTS,CTS Corporation,29.7,980627769,n/a,n/a,Technology,Electrical Products,https://www.nasdaq.com/symbol/cts
CW,Curtiss-Wright Corporation,131.49,5817672750.78,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cw
CVV,CVD Equipment Corporation,8.07,52121821.98,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cvv
CYBR,CyberArk Software Ltd.,54.82,1950409148.86,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cybr
CY,Cypress Semiconductor Corporation,15.13,5417935939.19,n/a,1986,Technology,Semiconductors,https://www.nasdaq.com/symbol/cy
CYRN,CYREN Ltd.,2.975,148269293.55,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cyrn
DQ,DAQO New Energy Corp.,54.49,591969061.39,n/a,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/dq
DWCH,Datawatch Corporation,9.5,117202858.5,n/a,1992,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/dwch
DVMT,Dell Technologies Inc.,72.62,14477156469,n/a,n/a,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/dvmt
DTRM,"Determine, Inc. ",1.46,21747962.9,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/dtrm
DGII,Digi International Inc.,11.3,305422377.7,n/a,1989,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/dgii
DMRC,Digimarc Corporation,28.7,340090666.3,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dmrc
DGLY,"Digital Ally, Inc.",2.45,17209978.45,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/dgly
DIOD,Diodes Incorporated,29.15,1443931083.1,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/diod
DLHC,DLH Holdings Corp.,5.84,69393764.96,n/a,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/dlhc
DOV,Dover Corporation,95.34,14737359453.18,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/dov
DBX,"Dropbox, Inc.",29.61,11604248155.71,n/a,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/dbx
DSPG,"DSP Group, Inc.",11.55,262451631.75,n/a,1994,Technology,Semiconductors,https://www.nasdaq.com/symbol/dspg
DXC,DXC Technology Company,103.48,29562980270.2,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dxc
ETN,"Eaton Corporation, PLC",76.15,33361555481.7,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/etn
EBIX,"Ebix, Inc.",77.35,2435560136.1,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/ebix
ELON,Echelon Corporation,4.14,18802683.54,n/a,1998,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/elon
SATS,EchoStar Corporation,53.22,5103612528.3,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/sats
EDGW,"Edgewater Technology, Inc.",5.73,82157181.21,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/edgw
EGAN,eGain Corporation,8.5,231915224,n/a,1999,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/egan
EA,Electronic Arts Inc.,117.47,36031337572.65,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ea
EFII,"Electronics for Imaging, Inc.",28.75,1293976895,n/a,1992,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/efii
ELLI,"Ellie Mae, Inc.",94.49,3241570538.36,n/a,2011,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/elli
ELTK,Eltek Ltd.,3.83,7769354.16,n/a,1997,Technology,Electrical Products,https://www.nasdaq.com/symbol/eltk
EMAN,eMagin Corporation,1.55,69798564.6,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/eman
EMKR,EMCORE Corporation,4.575,124438041.9,n/a,1997,Technology,Semiconductors,https://www.nasdaq.com/symbol/emkr
EIGI,"Endurance International Group Holdings, Inc.",7.4,1048050426.4,n/a,2013,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/eigi
WATT,Energous Corporation,18.31,462806965.66,n/a,2014,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/watt
ERII,"Energy Recovery, Inc.",8.29,447539919.35,n/a,2008,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/erii
ENPH,"Enphase Energy, Inc.",4.26,408232583.7,n/a,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/enph
EPAM,"EPAM Systems, Inc.",114.78,6123129979.14,n/a,2012,Technology,EDP Services,https://www.nasdaq.com/symbol/epam
PLUS,ePlus inc.,80.3,1120071777,n/a,1996,Technology,Retail: Computer Software & Peripheral Equipment,https://www.nasdaq.com/symbol/plus
ERIC,Ericsson,7.59,2372461570.38,312577282,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/eric
EVBG,"Everbridge, Inc.",37,1055514466,n/a,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/evbg
MRAM,"Everspin Technologies, Inc.",7.3,121535663.3,n/a,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/mram
EVTC,"Evertec, Inc.",18.2,1318210366.2,n/a,2013,Technology,EDP Services,https://www.nasdaq.com/symbol/evtc
EVOL,"Evolving Systems, Inc.",3.75,46983345,n/a,1998,Technology,EDP Services,https://www.nasdaq.com/symbol/evol
AQUA,Evoqua Water Technologies Corp.,20.44,2315126216.48,n/a,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aqua
EXTN,Exterran Corporation,29.36,1049940523.12,n/a,2015,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/extn
EXTR,"Extreme Networks, Inc.",10.64,1226446189.36,n/a,1999,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/extr
FFIV,"F5 Networks, Inc.",160.84,9947060212.12,n/a,1999,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/ffiv
FB,"Facebook, Inc.",173.59,503300102375.68,n/a,2012,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/fb
FDS,FactSet Research Systems Inc.,191.38,7439792241,n/a,1996,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/fds
SFUN,Fang Holdings Limited,4.78,2117179181.7,n/a,2010,Technology,EDP Services,https://www.nasdaq.com/symbol/sfun
FNSR,Finisar Corporation,15.74,1805297190.84,n/a,1999,Technology,Semiconductors,https://www.nasdaq.com/symbol/fnsr
